Dataset, Plane_Height, Reference, Z_Factor, Area_2D, Area_3D, Volume
..Output_data\eddy_003l_20080328, 915.32, ABOVE, 1.000000, 5876.7403577432, 6069.6274707916, 17515.948379804
..Output_data\eddy_003l_20080328, 915.42, ABOVE, 1.000000, 5775.5391256947, 5965.3118868867, 16933.235115226
..Output_data\eddy_003l_20080328, 915.52, ABOVE, 1.000000, 5678.1790660903, 5864.831779023, 16360.651917086
..Output_data\eddy_003l_20080328, 915.62, ABOVE, 1.000000, 5583.1722603643, 5766.6948843193, 15797.534578824
..Output_data\eddy_003l_20080328, 915.72, ABOVE, 1.000000, 5487.5524545501, 5667.8363156584, 15243.920595616
..Output_data\eddy_003l_20080328, 915.82, ABOVE, 1.000000, 5365.3815318383, 5542.2164825772, 14700.863104436
..Output_data\eddy_003l_20080328, 915.92, ABOVE, 1.000000, 5226.017805018, 5399.0943629185, 14171.188627275
..Output_data\eddy_003l_20080328, 916.02, ABOVE, 1.000000, 5088.1282061091, 5257.274748536, 13655.558794216
..Output_data\eddy_003l_20080328, 916.12, ABOVE, 1.000000, 4939.059263618, 5104.1282821879, 13154.139111929
..Output_data\eddy_003l_20080328, 916.22, ABOVE, 1.000000, 4797.0315621112, 4957.8651751797, 12667.339324525
..Output_data\eddy_003l_20080328, 916.32, ABOVE, 1.000000, 4644.8732961683, 4801.4124130695, 12195.162310438
..Output_data\eddy_003l_20080328, 916.42, ABOVE, 1.000000, 4486.425321803, 4638.6761183362, 11738.650846088
..Output_data\eddy_003l_20080328, 916.52, ABOVE, 1.000000, 4332.4212485448, 4480.5756681391, 11297.729294943
..Output_data\eddy_003l_20080328, 916.62, ABOVE, 1.000000, 4211.7592963689, 4356.0482456117, 10870.657491222
..Output_data\eddy_003l_20080328, 916.72, ABOVE, 1.000000, 4103.1179738454, 4243.6119040111, 10454.951872883
..Output_data\eddy_003l_20080328, 916.82, ABOVE, 1.000000, 3999.2591721581, 4135.9865942407, 10049.854234333
..Output_data\eddy_003l_20080328, 916.92, ABOVE, 1.000000, 3894.1493975823, 4027.0946892585, 9655.1187869541
..Output_data\eddy_003l_20080328, 917.02, ABOVE, 1.000000, 3786.6411782867, 3915.6806143577, 9271.0609915767
..Output_data\eddy_003l_20080328, 917.12, ABOVE, 1.000000, 3673.1961979273, 3798.1828816167, 8898.0586143311
..Output_data\eddy_003l_20080328, 917.22, ABOVE, 1.000000, 3556.0206266687, 3676.829148991, 8536.5834845858
..Output_data\eddy_003l_20080328, 917.32, ABOVE, 1.000000, 3444.2620354058, 3560.9445382028, 8186.670442565
..Output_data\eddy_003l_20080328, 917.42, ABOVE, 1.000000, 3335.3942871385, 3448.0464811699, 7847.6870229749
..Output_data\eddy_003l_20080328, 917.52, ABOVE, 1.000000, 3230.7976530742, 3339.493671387, 7519.4768603463
..Output_data\eddy_003l_20080328, 917.62, ABOVE, 1.000000, 3137.0037104992, 3241.8269608283, 7201.1295851722
..Output_data\eddy_003l_20080328, 917.72, ABOVE, 1.000000, 3043.4015978795, 3144.4079770425, 6892.1062784463
..Output_data\eddy_003l_20080328, 917.82, ABOVE, 1.000000, 2946.8568883511, 3044.1363661739, 6592.395265162
..Output_data\eddy_003l_20080328, 917.92, ABOVE, 1.000000, 2841.223488274, 2934.988649013, 6303.1763871058
..Output_data\eddy_003l_20080328, 918.02, ABOVE, 1.000000, 2763.6516341218, 2854.0478100384, 6022.9836756317
..Output_data\eddy_003l_20080328, 918.12, ABOVE, 1.000000, 2691.3146788941, 2778.5057269799, 5750.3428669099
