Site,Date,Plane_Height,Area_2D,Area_3D,Volume
003l,20081011,8kto25k,575.004142491,602.958509869,406.718981613
003l,20081011,above920.82,736.337219277,777.426652829,459.364122988
003l,20081011,above920.92,655.256548455,694.918919953,413.581174328
003l,20081011,above921.02,565.124339792,603.537626357,376.19114643
003l,20081011,above921.12,533.846731428,571.067606196,343.007104528
003l,20081011,above921.22,506.735947187,542.781824108,311.835752174
003l,20081011,above921.32,482.172931527,517.018200279,282.343068528
003l,20081011,above921.42,455.79839833,489.473901138,254.488514846
003l,20081011,above921.52,429.156711898,461.679733761,228.529155781
003l,20081011,above921.62,400.056376292,431.300700351,204.583771853
003l,20081011,above921.72,344.411209982,374.2941213,183.738252442
003l,20081011,above921.82,311.417035294,339.866018207,167.359283605
003l,20081011,above921.92,295.720691159,322.702789309,152.399748394
003l,20081011,above922.02,276.673884515,302.077441245,138.403742925
003l,20081011,above922.12,257.896245861,281.79783642,125.684655404
003l,20081011,above922.22,236.092747195,258.498591155,114.258325789
003l,20081011,above922.32,217.581189479,238.571334193,104.133151076
003l,20081011,above922.42,205.32962943,225.031718259,94.9812093028
003l,20081011,above922.52,196.831028677,215.240925462,86.0918655261
003l,20081011,above922.62,188.392926727,205.497676321,77.4622616286
003l,20081011,above922.72,180.0310168,195.82555872,69.1130587819
003l,20081011,above922.82,171.329537586,185.843146618,61.0720663352
003l,20081011,above922.92,162.260727109,175.519932238,53.3918318186
003l,20081011,above923.02,152.805286246,164.833198513,46.1123379363
003l,20081011,above923.12,142.751387854,153.593070505,39.282700566
003l,20081011,above923.22,131.753281397,141.470784707,32.9897339695
003l,20081011,above923.32,119.550284132,128.205357862,27.3131963638
003l,20081011,above923.42,98.5360105566,106.220442925,22.4646291414
003l,20081011,above923.52,83.5722631416,90.4485519361,19.0000308915
003l,20081011,above923.62,70.9948950903,77.0813383516,15.9558312819
003l,20081011,above923.72,59.9343269644,65.1723822513,13.1318855899
003l,20081011,above923.82,49.0692703183,53.4424486317,10.4494889686
003l,20081011,above923.92,36.9852187854,40.4865333834,8.03516510538
003l,20081011,above924.02,27.7367688576,30.4385144184,6.01526679608
003l,20081011,above924.12,20.7734616261,22.8178968834,4.2994306316
003l,20081011,above924.22,14.7142817681,16.1718317016,2.84419639836
003l,20081011,above924.32,9.33041343515,10.2724526429,1.72043477592
003l,20081011,above924.42,5.51594728158,6.08512579421,0.999399094207
