Dataset, Plane_Height, Reference, Z_Factor, Area_2D, Area_3D, Volume
..put_data\minchan_003l_20080328, 906.12, ABOVE, 1.000000, 16887.611636784, 17492.470579899, 105707.19416287
..put_data\minchan_003l_20080328, 906.22, ABOVE, 1.000000, 16887.594487087, 17492.453365336, 104018.43302204
..put_data\minchan_003l_20080328, 906.32, ABOVE, 1.000000, 16881.474901684, 17486.28400124, 102329.92294119
..put_data\minchan_003l_20080328, 906.42, ABOVE, 1.000000, 16869.825450629,  17474.4709586, 100642.31368132
..put_data\minchan_003l_20080328, 906.52, ABOVE, 1.000000, 16848.062933789, 17452.385503325, 98956.284583155
..put_data\minchan_003l_20080328, 906.62, ABOVE, 1.000000, 16801.761132942, 17405.568476054, 97273.683254112
..put_data\minchan_003l_20080328, 906.72, ABOVE, 1.000000, 16759.886292917, 17363.043294137, 95595.694112106
..put_data\minchan_003l_20080328, 906.82, ABOVE, 1.000000, 16719.929872461, 17322.259303184, 93921.757827124
..put_data\minchan_003l_20080328, 906.92, ABOVE, 1.000000, 16678.084363229, 17279.485285803, 92251.780610822
..put_data\minchan_003l_20080328, 907.02, ABOVE, 1.000000, 16638.256335685, 17238.621479116, 90586.043664027
..put_data\minchan_003l_20080328, 907.12, ABOVE, 1.000000, 16601.301320871, 17200.538066643, 88924.033238534
..put_data\minchan_003l_20080328, 907.22, ABOVE, 1.000000, 16541.991835837, 17139.981061317, 87266.722919845
..put_data\minchan_003l_20080328, 907.32, ABOVE, 1.000000, 16482.942892759, 17079.582092633, 85615.532699335
..put_data\minchan_003l_20080328, 907.42, ABOVE, 1.000000, 16421.345063304, 17016.519793692, 83970.182197067
..put_data\minchan_003l_20080328, 907.52, ABOVE, 1.000000, 16353.898581876, 16947.559742455, 82331.460418522
..put_data\minchan_003l_20080328, 907.62, ABOVE, 1.000000, 16280.272587236, 16872.424152975, 80699.771030983
..put_data\minchan_003l_20080328, 907.72, ABOVE, 1.000000, 16205.364792946, 16795.89395644, 79075.276360163
..put_data\minchan_003l_20080328, 907.82, ABOVE, 1.000000, 16098.740382218, 16687.454047743, 77459.820958951
..put_data\minchan_003l_20080328, 907.92, ABOVE, 1.000000, 15967.726055857, 16554.372007587, 75856.579416205
..put_data\minchan_003l_20080328, 908.02, ABOVE, 1.000000, 15836.912413831, 16421.172171829, 74266.444154339
..put_data\minchan_003l_20080328, 908.12, ABOVE, 1.000000, 15710.262570612, 16291.805317748, 72689.050467015
..put_data\minchan_003l_20080328, 908.22, ABOVE, 1.000000, 15564.511251302, 16143.096325895, 71125.113730706
..put_data\minchan_003l_20080328, 908.32, ABOVE, 1.000000, 15396.635609452, 15972.040024098, 69576.389741794
..put_data\minchan_003l_20080328, 908.42, ABOVE, 1.000000, 15181.380144141, 15753.37364443, 68047.581518209
..put_data\minchan_003l_20080328, 908.52, ABOVE, 1.000000, 15026.861073507, 15595.226117087, 66537.549258128
..put_data\minchan_003l_20080328, 908.62, ABOVE, 1.000000, 14880.651847878, 15445.147925157, 65042.072652733
..put_data\minchan_003l_20080328, 908.72, ABOVE, 1.000000, 14764.549188704, 15325.065139793, 63560.020749729
..put_data\minchan_003l_20080328, 908.82, ABOVE, 1.000000, 14651.476949982, 15207.894729239, 62089.096098278
..put_data\minchan_003l_20080328, 908.92, ABOVE, 1.000000, 14513.224642929, 15065.601619234, 60630.45825283
..put_data\minchan_003l_20080328, 909.02, ABOVE, 1.000000, 14384.093470851, 14932.386515707, 59186.043770302
..put_data\minchan_003l_20080328, 909.12, ABOVE, 1.000000, 14281.863558559, 14826.083445552, 57752.853219789
..put_data\minchan_003l_20080328, 909.22, ABOVE, 1.000000, 14181.045230506, 14721.183771499, 56329.536367319
..put_data\minchan_003l_20080328, 909.32, ABOVE, 1.000000, 14071.477990805, 14607.561072526,  54916.8715657
..put_data\minchan_003l_20080328, 909.42, ABOVE, 1.000000, 13966.578513092, 14498.563752184, 53514.933652257
..put_data\minchan_003l_20080328, 909.52, ABOVE, 1.000000, 13852.819355908, 14380.602328293, 52123.764868758
..put_data\minchan_003l_20080328, 909.62, ABOVE, 1.000000, 13709.696164915, 14233.02112063, 50745.533678766
..put_data\minchan_003l_20080328, 909.72, ABOVE, 1.000000, 13561.775816595, 14080.320057644, 49381.878490426
..put_data\minchan_003l_20080328, 909.82, ABOVE, 1.000000, 13416.863422124, 13930.417166977, 48033.026146646
..put_data\minchan_003l_20080328, 909.92, ABOVE, 1.000000, 13257.478984451, 13765.84263086, 46699.560063367
..put_data\minchan_003l_20080328, 910.02, ABOVE, 1.000000, 13124.732236744, 13627.691373708, 45380.614206808
..put_data\minchan_003l_20080328, 910.12, ABOVE, 1.000000, 13003.839091027, 13501.240699961, 44074.271624025
..put_data\minchan_003l_20080328, 910.22, ABOVE, 1.000000, 12886.529175992, 13378.313921276, 42779.697662548
..put_data\minchan_003l_20080328, 910.32, ABOVE, 1.000000, 12748.083855854, 13234.295179269, 41497.604718057
..put_data\minchan_003l_20080328, 910.42, ABOVE, 1.000000, 12595.119191318, 13075.74674482, 40230.55942817
..put_data\minchan_003l_20080328, 910.52, ABOVE, 1.000000, 12454.544270017, 12929.41812482, 38978.172551268
..put_data\minchan_003l_20080328, 910.62, ABOVE, 1.000000, 12321.920216677, 12790.756047291, 37739.372537186
..put_data\minchan_003l_20080328, 910.72, ABOVE, 1.000000, 12175.841338103, 12638.416602162, 36514.138648587
..put_data\minchan_003l_20080328, 910.82, ABOVE, 1.000000, 12020.280298544, 12476.497643764, 35304.403616944
..put_data\minchan_003l_20080328, 910.92, ABOVE, 1.000000, 11868.512684008, 12318.42490388, 34109.922965263
..put_data\minchan_003l_20080328, 911.02, ABOVE, 1.000000, 11713.913428131, 12157.527731532, 32930.793498088
..put_data\minchan_003l_20080328, 911.12, ABOVE, 1.000000, 11559.567513216, 11996.655744202, 31766.865930057
..put_data\minchan_003l_20080328, 911.22, ABOVE, 1.000000, 11400.230806404, 11830.630356186, 30618.933565717
..put_data\minchan_003l_20080328, 911.32, ABOVE, 1.000000, 11255.55361621, 11679.150169466, 29486.279307496
..put_data\minchan_003l_20080328, 911.42, ABOVE, 1.000000, 11114.160565685, 11530.895248809, 28367.743039617
..put_data\minchan_003l_20080328, 911.52, ABOVE, 1.000000, 10966.63128245, 11376.466888085, 27263.616819723
..put_data\minchan_003l_20080328, 911.62, ABOVE, 1.000000, 10812.301655459,   11215.138694, 26174.682307296
..put_data\minchan_003l_20080328, 911.72, ABOVE, 1.000000, 10646.948894406, 11042.663082004, 25101.493480965
..put_data\minchan_003l_20080328, 911.82, ABOVE, 1.000000, 10491.900745594, 10880.391082264, 24044.690941611
..put_data\minchan_003l_20080328, 911.92, ABOVE, 1.000000, 10346.804286014, 10728.04695742, 23002.769217758
..put_data\minchan_003l_20080328, 912.02, ABOVE, 1.000000, 10195.119111564, 10569.245632432, 21975.550995291
..put_data\minchan_003l_20080328, 912.12, ABOVE, 1.000000, 10030.842308994, 10397.929732972, 20964.192677318
..put_data\minchan_003l_20080328, 912.22, ABOVE, 1.000000, 9863.0069046951, 10223.122157407, 19969.42995447
..put_data\minchan_003l_20080328, 912.32, ABOVE, 1.000000,  9680.22016268, 10033.304635241, 18992.181285923
..put_data\minchan_003l_20080328, 912.42, ABOVE, 1.000000, 9490.0543529538, 9835.8885848908, 18033.630966467
..put_data\minchan_003l_20080328, 912.52, ABOVE, 1.000000, 9284.5005477421, 9622.8706823073, 17094.943708817
..put_data\minchan_003l_20080328, 912.62, ABOVE, 1.000000, 9115.464826291, 9446.2555007572, 16175.230134059
