Dataset, Plane_Height, Reference, Z_Factor, Area_2D, Area_3D, Volume
..Output_data\eddy_003l_20080517, 920.02, ABOVE, 1.000000, 1043.9707429007, 1085.6919404572, 1664.3521578944
..Output_data\eddy_003l_20080517, 920.12, ABOVE, 1.000000, 1041.9913392295, 1083.6768428775, 1559.9825355899
..Output_data\eddy_003l_20080517, 920.22, ABOVE, 1.000000, 1017.7331633711, 1058.9853011737, 1456.7961001252
..Output_data\eddy_003l_20080517, 920.32, ABOVE, 1.000000, 978.40430839014, 1018.9705875548, 1356.8905759244
..Output_data\eddy_003l_20080517, 920.42, ABOVE, 1.000000, 933.10154751881, 972.85992876251, 1261.2621501302
..Output_data\eddy_003l_20080517, 920.52, ABOVE, 1.000000, 881.86875475172, 920.77245974649, 1170.4762605595
..Output_data\eddy_003l_20080517, 920.62, ABOVE, 1.000000, 828.51031696927, 866.54630993933, 1084.9854691788
..Output_data\eddy_003l_20080517, 920.72, ABOVE, 1.000000, 784.5787502279, 821.74736219629, 1004.3797991715
..Output_data\eddy_003l_20080517, 920.82, ABOVE, 1.000000, 740.70253131383, 777.00926921282, 928.0889379174
..Output_data\eddy_003l_20080517, 920.92, ABOVE, 1.000000, 696.89775551496, 732.33273662005, 856.23526496003
..Output_data\eddy_003l_20080517, 921.02, ABOVE, 1.000000, 655.57725741648, 690.11280743784, 788.62071326876
..Output_data\eddy_003l_20080517, 921.12, ABOVE, 1.000000, 617.56323233995, 651.18592818823, 724.9872690609
..Output_data\eddy_003l_20080517, 921.22, ABOVE, 1.000000, 579.78726658336, 612.46397828925, 665.09156653771
..Output_data\eddy_003l_20080517, 921.32, ABOVE, 1.000000, 538.90913870778, 570.61914759607, 609.16496802576
..Output_data\eddy_003l_20080517, 921.42, ABOVE, 1.000000, 501.42017786601, 532.16545176933, 557.18629574409
..Output_data\eddy_003l_20080517, 921.52, ABOVE, 1.000000, 466.93328152906, 496.72551695569, 508.78953144526
..Output_data\eddy_003l_20080517, 921.62, ABOVE, 1.000000, 433.04581450593, 461.89774720855, 463.81159859416
..Output_data\eddy_003l_20080517, 921.72, ABOVE, 1.000000, 404.72053210031, 432.58479411905, 421.96963847478
