Dataset, Plane_Height, Reference, Z_Factor, Area_2D, Area_3D, Volume
..put_data\mineddy_003l_20080202, 908.42, ABOVE, 1.000000, 7525.5475742044, 7889.9079357135, 54846.792969194
..put_data\mineddy_003l_20080202, 908.52, ABOVE, 1.000000, 7525.5446556394, 7889.9049530782, 54094.238217633
..put_data\mineddy_003l_20080202, 908.62, ABOVE, 1.000000, 7524.8640585494, 7889.1961904765, 53341.710566518
..put_data\mineddy_003l_20080202, 908.72, ABOVE, 1.000000, 7523.2138328811, 7887.4359456552, 52589.296649385
..put_data\mineddy_003l_20080202, 908.82, ABOVE, 1.000000, 7520.4183266919, 7884.4182924121, 51837.10526351
..put_data\mineddy_003l_20080202, 908.92, ABOVE, 1.000000, 7514.9796670712, 7878.5764898124, 51085.299155436
..put_data\mineddy_003l_20080202, 909.02, ABOVE, 1.000000, 7505.3848113648, 7868.4080067142, 50334.261341295
..put_data\mineddy_003l_20080202, 909.12, ABOVE, 1.000000, 7493.1122906144, 7855.518810417, 49584.298176474
..put_data\mineddy_003l_20080202, 909.22, ABOVE, 1.000000, 7474.7480681557, 7836.5311184842, 48835.87124414
..put_data\mineddy_003l_20080202, 909.32, ABOVE, 1.000000, 7451.1405414325, 7812.2810442029, 48089.540970441
..put_data\mineddy_003l_20080202, 909.42, ABOVE, 1.000000, 7425.2457362458, 7785.6487767502, 47345.712703858
..put_data\mineddy_003l_20080202, 909.52, ABOVE, 1.000000, 7402.7468902508, 7762.2916909139, 46604.337530455
..put_data\mineddy_003l_20080202, 909.62, ABOVE, 1.000000, 7368.3736634479, 7726.9280875537, 45865.786258689
..put_data\mineddy_003l_20080202, 909.72, ABOVE, 1.000000, 7344.9971455623, 7702.4593166634, 45130.141096841
..put_data\mineddy_003l_20080202, 909.82, ABOVE, 1.000000, 7322.6495460017, 7678.8686402384, 44396.762887381
..put_data\mineddy_003l_20080202, 909.92, ABOVE, 1.000000, 7300.6291420076, 7655.4554167026, 43665.593115412
..put_data\mineddy_003l_20080202, 910.02, ABOVE, 1.000000, 7278.1765681593, 7631.4305680205, 42936.66321088
..put_data\mineddy_003l_20080202, 910.12, ABOVE, 1.000000, 7255.7389737266, 7607.3462999003, 42209.940201282
..put_data\mineddy_003l_20080202, 910.22, ABOVE, 1.000000, 7234.8566967609, 7584.6978469736, 41485.439443132
..put_data\mineddy_003l_20080202, 910.32, ABOVE, 1.000000, 7214.0554336702, 7562.0931680195, 40762.986477057
..put_data\mineddy_003l_20080202, 910.42, ABOVE, 1.000000, 7193.1102420579, 7539.2540414644, 40042.628554286
..put_data\mineddy_003l_20080202, 910.52, ABOVE, 1.000000, 7171.3282800166, 7515.4665201643, 39324.400118347
..put_data\mineddy_003l_20080202, 910.62, ABOVE, 1.000000, 7148.5518896043, 7490.6320457545, 38608.391904158
..put_data\mineddy_003l_20080202, 910.72, ABOVE, 1.000000, 7123.8563669012, 7463.8727874099, 37894.760896222
..put_data\mineddy_003l_20080202, 910.82, ABOVE, 1.000000, 7098.3144502896, 7436.2783294763, 37183.650425262
..put_data\mineddy_003l_20080202, 910.92, ABOVE, 1.000000, 7072.8323174307, 7408.6814395981, 36475.088509138
..put_data\mineddy_003l_20080202, 911.02, ABOVE, 1.000000, 7047.0233618019, 7380.7112994374, 35769.091549169
..put_data\mineddy_003l_20080202, 911.12, ABOVE, 1.000000, 7021.566758666, 7353.0416656933, 35065.674608254
..put_data\mineddy_003l_20080202, 911.22, ABOVE, 1.000000, 6996.5676617313, 7325.7677244626, 34364.761409974
..put_data\mineddy_003l_20080202, 911.32, ABOVE, 1.000000, 6967.9680264089, 7294.8413939415, 33666.456996298
..put_data\mineddy_003l_20080202, 911.42, ABOVE, 1.000000, 6935.4066755277, 7259.9040537465, 32971.280408271
..put_data\mineddy_003l_20080202, 911.52, ABOVE, 1.000000, 6901.1981666573, 7223.2715148078, 32279.45413195
..put_data\mineddy_003l_20080202, 911.62, ABOVE, 1.000000, 6868.2063149842, 7187.7667917836, 31590.988993367
..put_data\mineddy_003l_20080202, 911.72, ABOVE, 1.000000, 6835.1067020078, 7152.1213219656, 30905.836731512
..put_data\mineddy_003l_20080202, 911.82, ABOVE, 1.000000, 6801.6852175067, 7116.1350471728, 30223.985806078
..put_data\mineddy_003l_20080202, 911.92, ABOVE, 1.000000, 6767.7734116409, 7079.6820318918, 29545.519378297
..put_data\mineddy_003l_20080202, 912.02, ABOVE, 1.000000, 6720.2918270219, 7029.6645623283, 28870.835434876
..put_data\mineddy_003l_20080202, 912.12, ABOVE, 1.000000, 6661.1710617986, 6967.9450247376, 28201.748463966
..put_data\mineddy_003l_20080202, 912.22, ABOVE, 1.000000, 6608.5622735252, 6912.6468399408, 27538.217436987
..put_data\mineddy_003l_20080202, 912.32, ABOVE, 1.000000, 6559.3288013436, 6860.5665353069, 26879.896138631
..put_data\mineddy_003l_20080202, 912.42, ABOVE, 1.000000, 6511.0901407477, 6809.394553285, 26226.415685649
..put_data\mineddy_003l_20080202, 912.52, ABOVE, 1.000000, 6465.3104457825, 6760.6339568213, 25577.581277232
..put_data\mineddy_003l_20080202, 912.62, ABOVE, 1.000000, 6415.2105317078, 6707.485214733, 24933.521740135
..put_data\mineddy_003l_20080202, 912.72, ABOVE, 1.000000, 6362.3620400528, 6651.5846614186, 24294.613845822
..put_data\mineddy_003l_20080202, 912.82, ABOVE, 1.000000, 6306.1555147433, 6592.4407165482, 23661.196548453
..put_data\mineddy_003l_20080202, 912.92, ABOVE, 1.000000, 6251.6881754922, 6535.0388406399, 23033.274660212
..put_data\mineddy_003l_20080202, 913.02, ABOVE, 1.000000, 6179.9639226203, 6460.4770074093, 22411.139944662
..put_data\mineddy_003l_20080202, 913.12, ABOVE, 1.000000, 6082.6373055967, 6360.3565179293, 21797.801721244
..put_data\mineddy_003l_20080202, 913.22, ABOVE, 1.000000, 6009.7006647922, 6284.5618310292, 21193.279330326
..put_data\mineddy_003l_20080202, 913.32, ABOVE, 1.000000, 5939.1669978546, 6211.1669970959, 20595.807759507
..put_data\mineddy_003l_20080202, 913.42, ABOVE, 1.000000, 5870.4336651431, 6139.7481591734, 20005.315533109
..put_data\mineddy_003l_20080202, 913.52, ABOVE, 1.000000, 5808.5906978986, 6075.2285435881, 19421.423379865
..put_data\mineddy_003l_20080202, 913.62, ABOVE, 1.000000, 5749.0584355011, 6012.9995049834, 18843.46219543
..put_data\mineddy_003l_20080202, 913.72, ABOVE, 1.000000, 5680.6496456598, 5941.9156574134, 18271.956637425
..put_data\mineddy_003l_20080202, 913.82, ABOVE, 1.000000, 5614.1999655086, 5872.762550204, 17707.172915835
..put_data\mineddy_003l_20080202, 913.92, ABOVE, 1.000000, 5545.2440649826, 5801.0995220892, 17149.23905651
..put_data\mineddy_003l_20080202, 914.02, ABOVE, 1.000000, 5473.7724172413, 5727.1118263155, 16598.230237855
..put_data\mineddy_003l_20080202, 914.12, ABOVE, 1.000000, 5404.5304988639, 5655.3955006234, 16054.334548671
..put_data\mineddy_003l_20080202, 914.22, ABOVE, 1.000000, 5329.2981334163, 5577.6053305221, 15517.505974229
..put_data\mineddy_003l_20080202, 914.32, ABOVE, 1.000000, 5249.1361196239, 5494.7980360635, 14988.674698946
..put_data\mineddy_003l_20080202, 914.42, ABOVE, 1.000000, 5178.1238038298, 5421.0100123396, 14467.340280511
