Site,Date,Plane_Height,Area_2D,Area_3D,Volume
003l,20080328,8kto25k,717.988307808,740.640930245,616.252133412
003l,20080328,above920.82,887.150951535,921.951151955,669.135855722
003l,20080328,above920.92,815.466195514,849.597403033,607.898920596
003l,20080328,above921.02,771.224991142,804.568563207,551.511389965
003l,20080328,above921.12,729.72664013,762.221689244,498.305114958
003l,20080328,above921.22,694.020646121,725.627820392,448.106514828
003l,20080328,above921.32,661.865196416,692.478804408,400.406711991
003l,20080328,above921.42,633.81644198,663.28158671,354.80459986
003l,20080328,above921.52,602.025691144,630.30647432,311.30617482
003l,20080328,above921.62,558.630886722,585.753416363,270.716272071
003l,20080328,above921.72,501.993573967,528.095157602,234.523446866
003l,20080328,above921.82,445.317040142,470.520800496,203.271773686
003l,20080328,above921.92,393.509274067,417.760081537,176.789188775
003l,20080328,above922.02,344.543031126,367.625996429,154.801302105
003l,20080328,above922.12,298.901704583,320.705223173,136.605236336
003l,20080328,above922.22,260.400001635,280.958201569,122.073987761
003l,20080328,above922.32,233.993421844,253.357471892,110.064543676
003l,20080328,above922.42,215.957222344,234.124463057,99.5697220978
003l,20080328,above922.52,206.530367389,223.510676355,89.7263618149
003l,20080328,above922.62,197.543936125,213.326216138,80.2009552584
003l,20080328,above922.72,188.674625941,203.256510376,71.0064788789
003l,20080328,above922.82,179.604438806,193.005998984,62.159105184
003l,20080328,above922.92,170.137348585,182.396688812,53.7057609906
003l,20080328,above923.02,158.886543879,170.078511969,45.7126796058
003l,20080328,above923.12,146.767910661,156.960117922,38.4384939425
003l,20080328,above923.22,134.928937362,144.134855988,31.8179362225
003l,20080328,above923.32,123.347608193,131.553135973,25.8145665983
003l,20080328,above923.42,108.180551057,115.466298953,20.4799227025
003l,20080328,above923.52,85.2054727151,91.6744413491,16.3311212593
003l,20080328,above923.62,70.3438709221,76.0099274335,13.2764638027
003l,20080328,above923.72,58.9054710498,63.709992303,10.534528911
003l,20080328,above923.82,47.448152728,51.4252549185,7.97928113652
003l,20080328,above923.92,34.3466513257,37.553568617,5.7597953305
003l,20080328,above924.02,23.8153627739,26.3449046213,4.08989060252
003l,20080328,above924.12,16.5469403384,18.4510238229,2.78670547767
003l,20080328,above924.22,11.0119863986,12.3597674746,1.73161238428
003l,20080328,above924.32,6.3996697068,7.24056816264,0.938239783081
003l,20080328,above924.42,3.03137594732,3.52113574669,0.492490936547
