Site,Date,Plane_Height,Area_2D,Area_3D,Volume
003l,20080202,8kto25k,2257.49117044,2302.00682662,1737.81857546
003l,20080202,above920.82,2419.23188785,2476.35036566,1787.31878685
003l,20080202,above920.92,2307.75350419,2362.3101628,1575.61919838
003l,20080202,above921.02,2200.70609456,2252.69357824,1373.42609478
003l,20080202,above921.12,2088.88629101,2138.31090781,1181.06675331
003l,20080202,above921.22,1971.64424133,2018.46643667,999.256460117
003l,20080202,above921.32,1870.37049062,1914.42311545,827.4244654
003l,20080202,above921.42,1776.95228637,1818.11090692,664.46987055
003l,20080202,above921.52,1686.71709137,1724.89758523,509.799293948
003l,20080202,above921.62,1567.59033751,1602.86546057,364.22468793
003l,20080202,above921.72,1197.2470736,1230.11948555,241.175818113
003l,20080202,above921.82,681.203986189,711.973890255,161.176569959
003l,20080202,above921.92,299.708362324,328.718620761,136.081090855
003l,20080202,above922.02,231.361225747,258.691668977,125.689320799
003l,20080202,above922.12,223.366240551,249.031926936,117.088781972
003l,20080202,above922.22,215.927870099,239.921514103,108.497522136
003l,20080202,above922.32,208.720930169,231.029391542,99.9046408534
003l,20080202,above922.42,201.629323598,222.258187829,91.3303393867
003l,20080202,above922.52,194.713141391,213.663338127,82.7891910458
003l,20080202,above922.62,187.703175437,204.993707314,74.348364428
003l,20080202,above922.72,180.410187945,196.076092302,66.0580479457
003l,20080202,above922.82,172.307140777,186.422483123,57.9845832082
003l,20080202,above922.92,162.821849911,175.54834972,50.2485558743
003l,20080202,above923.02,150.765019437,162.386748376,43.0486904084
003l,20080202,above923.12,137.192742219,147.884270369,36.639677697
003l,20080202,above923.22,123.916213874,133.659423949,31.0437852766
003l,20080202,above923.32,109.124959444,117.934977242,26.2865157701
003l,20080202,above923.42,95.4154327703,103.30851457,22.3709961362
003l,20080202,above923.52,83.2101330648,90.1935676368,19.0132704613
003l,20080202,above923.62,71.5007351924,77.5670901668,15.9688205876
003l,20080202,above923.72,60.2533719765,65.3938278376,13.0954818018
003l,20080202,above923.82,49.2949601465,53.5282992816,10.3881028459
003l,20080202,above923.92,38.844253645,42.1889403648,7.8777301038
003l,20080202,above924.02,29.2918881226,31.8152995924,5.67325346126
003l,20080202,above924.12,20.9236178268,22.7548334459,3.8653624919
003l,20080202,above924.22,14.0976622691,15.314836419,2.43953746595
003l,20080202,above924.32,8.26403064629,8.94505854482,1.40415398291
003l,20080202,above924.42,4.49603703339,4.83448063571,0.790428722223
