Dataset, Plane_Height, Reference, Z_Factor, Area_2D, Area_3D, Volume
..put_data\minchan_003l_20080202, 915.62, ABOVE, 1.000000, 1175.2819480154, 1258.5774918218, 1050.3809463786
..put_data\minchan_003l_20080202, 915.72, ABOVE, 1.000000, 1095.2289740273, 1172.0562681596, 936.88904079884
..put_data\minchan_003l_20080202, 915.82, ABOVE, 1.000000, 1017.6439223962, 1088.1326681005, 831.26154785188
..put_data\minchan_003l_20080202, 915.92, ABOVE, 1.000000, 931.93390820746, 996.23280729961, 733.72840773216
..put_data\minchan_003l_20080202, 916.02, ABOVE, 1.000000, 852.30182293001, 910.67150778994, 644.54030333006
..put_data\minchan_003l_20080202, 916.12, ABOVE, 1.000000, 776.71758862596, 829.41894511784, 563.13917299644
..put_data\minchan_003l_20080202, 916.22, ABOVE, 1.000000, 706.07206630411, 753.47497340487, 489.04054239885
..put_data\minchan_003l_20080202, 916.32, ABOVE, 1.000000, 640.98086245284, 683.42448468495, 421.73944147675
..put_data\minchan_003l_20080202, 916.42, ABOVE, 1.000000, 579.00638556568, 616.69659306923, 360.75876795715
..put_data\minchan_003l_20080202, 916.52, ABOVE, 1.000000, 519.97467283595, 553.26174387169, 305.8090585829
..put_data\minchan_003l_20080202, 916.62, ABOVE, 1.000000, 457.34195258112, 486.49472090369, 257.00045612073
..put_data\minchan_003l_20080202, 916.72, ABOVE, 1.000000, 403.64951922074, 428.82401101953, 213.97221285973
..put_data\minchan_003l_20080202, 916.82, ABOVE, 1.000000, 352.07875923647, 373.50035594523, 176.18441160731
..put_data\minchan_003l_20080202, 916.92, ABOVE, 1.000000, 308.97315815361, 326.95321586163, 143.14257057681
..put_data\minchan_003l_20080202, 917.02, ABOVE, 1.000000, 270.20183935689, 285.03742102796, 114.20239961403
..put_data\minchan_003l_20080202, 917.12, ABOVE, 1.000000, 234.96052452746, 246.95467262223, 88.973841895164
..put_data\minchan_003l_20080202, 917.22, ABOVE, 1.000000, 205.70408744687, 215.13656778558, 67.028336275186
..put_data\minchan_003l_20080202, 917.32, ABOVE, 1.000000, 180.92605056073, 188.15085308089, 47.707553414847
..put_data\minchan_003l_20080202, 917.42, ABOVE, 1.000000, 156.81145329977, 162.25225134549, 30.816196048897
..put_data\minchan_003l_20080202, 917.52, ABOVE, 1.000000, 125.88129768998, 129.89799890711, 16.512507472588
..put_data\minchan_003l_20080202, 917.62, ABOVE, 1.000000, 60.113381743022, 62.901236376059, 7.3201843833443
..put_data\minchan_003l_20080202, 917.72, ABOVE, 1.000000, 33.974852441898, 35.77164168043, 2.529746922631
..put_data\minchan_003l_20080202, 917.82, ABOVE, 1.000000, 6.7458020001495, 7.7309715001726, 0.66492327936905
..put_data\minchan_003l_20080202, 917.92, ABOVE, 1.000000, 2.6347700783915, 3.0843991036101, 0.2300754049775
..put_data\minchan_003l_20080202, 918.02, ABOVE, 1.000000, 0.95363340790218, 1.0992830314988, 0.060563196961962
..put_data\minchan_003l_20080202, 918.12, ABOVE, 1.000000, 0.21662181863177, 0.24502377452059, 0.0074794065583084
..put_data\minchan_003l_20080202, 918.22, ABOVE, 1.000000, 0.0030903057581533, 0.0034091266653045, 1.6756760467773e-005
..put_data\minchan_003l_20080202, 918.32, ABOVE, 1.000000,              0,              0,              0
