Dataset, Plane_Height, Reference, Z_Factor, Area_2D, Area_3D, Volume
..Output_data\eddy_003l_20080202, 910.52, ABOVE, 1.000000, 7525.5492549077, 7734.5600183907, 65406.526469404
..Output_data\eddy_003l_20080202, 910.62, ABOVE, 1.000000, 7525.5435177514, 7734.5534993747, 64653.971570063
..Output_data\eddy_003l_20080202, 910.72, ABOVE, 1.000000, 7525.192251533, 7734.1519047234, 63901.429716653
..Output_data\eddy_003l_20080202, 910.82, ABOVE, 1.000000, 7524.1793985735, 7733.0241892371, 63148.955833646
..Output_data\eddy_003l_20080202, 910.92, ABOVE, 1.000000, 7522.6817627117, 7731.3787282253, 62396.609875885
..Output_data\eddy_003l_20080202, 911.02, ABOVE, 1.000000, 7520.8384170105, 7729.3513512857, 61644.430709504
..Output_data\eddy_003l_20080202, 911.12, ABOVE, 1.000000, 7518.6522468536, 7726.9523866689, 60892.453218475
..Output_data\eddy_003l_20080202, 911.22, ABOVE, 1.000000, 7515.9913567246, 7724.0500795312, 60140.715426982
..Output_data\eddy_003l_20080202, 911.32, ABOVE, 1.000000, 7512.6604014749, 7720.4503327714, 59389.27795478
..Output_data\eddy_003l_20080202, 911.42, ABOVE, 1.000000, 7508.7406193484, 7716.2435279957, 58638.203276973
..Output_data\eddy_003l_20080202, 911.52, ABOVE, 1.000000, 7504.2990344094, 7711.4968484067, 57887.544948374
..Output_data\eddy_003l_20080202, 911.62, ABOVE, 1.000000, 7498.6063836475, 7705.4669130356, 57137.400805313
..Output_data\eddy_003l_20080202, 911.72, ABOVE, 1.000000, 7493.336679647, 7699.7996793964, 56387.80968457
..Output_data\eddy_003l_20080202, 911.82, ABOVE, 1.000000, 7488.4327035117, 7694.4374455078, 55638.720839765
..Output_data\eddy_003l_20080202, 911.92, ABOVE, 1.000000, 7483.3511490132, 7688.8624677473, 54890.129693036
..Output_data\eddy_003l_20080202, 912.02, ABOVE, 1.000000, 7478.0555895408, 7683.0449659475, 54142.057756504
..Output_data\eddy_003l_20080202, 912.12, ABOVE, 1.000000, 7472.582244767, 7677.0219217898, 53394.52488711
..Output_data\eddy_003l_20080202, 912.22, ABOVE, 1.000000, 7466.8790192247, 7670.7153221851, 52647.548509533
..Output_data\eddy_003l_20080202, 912.32, ABOVE, 1.000000, 7460.8544398551, 7663.9981075774, 51901.157924988
..Output_data\eddy_003l_20080202, 912.42, ABOVE, 1.000000, 7453.2791028664, 7655.6507713985, 51155.441638916
..Output_data\eddy_003l_20080202, 912.52, ABOVE, 1.000000, 7444.2006092864, 7645.6682566015, 50410.557736199
..Output_data\eddy_003l_20080202, 912.62, ABOVE, 1.000000, 7434.1653456725, 7634.6097000055, 49666.623128094
..Output_data\eddy_003l_20080202, 912.72, ABOVE, 1.000000, 7423.8531760706, 7623.2155309481, 48923.724087016
..Output_data\eddy_003l_20080202, 912.82, ABOVE, 1.000000, 7413.8396556871, 7612.0812021986, 48181.84699088
..Output_data\eddy_003l_20080202, 912.92, ABOVE, 1.000000, 7404.4055458207, 7601.456590302, 47440.935178636
..Output_data\eddy_003l_20080202, 913.02, ABOVE, 1.000000, 7394.6463117166, 7590.506650568, 46700.977454477
..Output_data\eddy_003l_20080202, 913.12, ABOVE, 1.000000, 7384.4326298827, 7579.1108883599, 45962.021344389
..Output_data\eddy_003l_20080202, 913.22, ABOVE, 1.000000, 7372.1610115684, 7565.6262253333, 45224.179733089
..Output_data\eddy_003l_20080202, 913.32, ABOVE, 1.000000, 7360.8151804692, 7553.0222556206, 44487.533527382
..Output_data\eddy_003l_20080202, 913.42, ABOVE, 1.000000, 7350.0034469259, 7540.9354554641, 43751.99379434
..Output_data\eddy_003l_20080202, 913.52, ABOVE, 1.000000, 7339.040261662, 7528.6991968718, 43017.539975089
..Output_data\eddy_003l_20080202, 913.62, ABOVE, 1.000000, 7327.8513501197, 7516.2435827683, 42284.193322719
..Output_data\eddy_003l_20080202, 913.72, ABOVE, 1.000000, 7316.6246764593, 7503.7328234776, 41551.969869031
..Output_data\eddy_003l_20080202, 913.82, ABOVE, 1.000000, 7305.0774128061, 7490.8751032927, 40820.879054127
..Output_data\eddy_003l_20080202, 913.92, ABOVE, 1.000000, 7291.759331572, 7476.2672237641, 40091.010689863
..Output_data\eddy_003l_20080202, 914.02, ABOVE, 1.000000, 7274.0960391002, 7457.2766226343, 39362.736944345
..Output_data\eddy_003l_20080202, 914.12, ABOVE, 1.000000, 7258.4206576131, 7440.2922660511, 38636.117177761
..Output_data\eddy_003l_20080202, 914.22, ABOVE, 1.000000, 7243.0539287605, 7423.6391859543, 37911.055625826
..Output_data\eddy_003l_20080202, 914.32, ABOVE, 1.000000, 7229.3679302395, 7408.6482078676, 37187.441329417
..Output_data\eddy_003l_20080202, 914.42, ABOVE, 1.000000, 7215.8784526689, 7393.8894920259, 36465.181538067
..Output_data\eddy_003l_20080202, 914.52, ABOVE, 1.000000, 7202.904250599, 7379.6467819813, 35744.249218513
..Output_data\eddy_003l_20080202, 914.62, ABOVE, 1.000000, 7190.0013736245, 7365.4990009742, 35024.599676312
..Output_data\eddy_003l_20080202, 914.72, ABOVE, 1.000000, 7176.4207561628, 7350.7104286116, 34306.270179685
..Output_data\eddy_003l_20080202, 914.82, ABOVE, 1.000000, 7161.6442458135, 7334.7548848749, 33589.355150494
..Output_data\eddy_003l_20080202, 914.92, ABOVE, 1.000000, 7145.2580609445, 7317.228504522, 32874.001655219
..Output_data\eddy_003l_20080202, 915.02, ABOVE, 1.000000, 7127.7948494251, 7298.6183676921, 32160.329805438
..Output_data\eddy_003l_20080202, 915.12, ABOVE, 1.000000, 7106.9456675523, 7276.6314752814, 31448.564864414
..Output_data\eddy_003l_20080202, 915.22, ABOVE, 1.000000, 7084.975535835, 7253.5078544783, 30738.960529321
..Output_data\eddy_003l_20080202, 915.32, ABOVE, 1.000000, 7062.0546676172, 7229.3801161102, 30031.609413862
..Output_data\eddy_003l_20080202, 915.42, ABOVE, 1.000000, 7037.6264653127, 7203.6963697671, 29326.605824312
..Output_data\eddy_003l_20080202, 915.52, ABOVE, 1.000000, 7012.2251797649, 7176.9667461257, 28624.12634092
..Output_data\eddy_003l_20080202, 915.62, ABOVE, 1.000000, 6987.6307018811, 7150.9796072052, 27924.119474385
..Output_data\eddy_003l_20080202, 915.72, ABOVE, 1.000000, 6958.369477923, 7120.2408328599, 27226.82580979
..Output_data\eddy_003l_20080202, 915.82, ABOVE, 1.000000, 6930.6672402394, 7090.9801093476, 26532.372597945
..Output_data\eddy_003l_20080202, 915.92, ABOVE, 1.000000, 6900.2034615781, 7058.9158419191, 25840.817024626
..Output_data\eddy_003l_20080202, 916.02, ABOVE, 1.000000, 6868.7846716604, 7025.8392723683, 25152.354825939
..Output_data\eddy_003l_20080202, 916.12, ABOVE, 1.000000, 6834.6906863358, 6990.0519648853, 24467.14465644
..Output_data\eddy_003l_20080202, 916.22, ABOVE, 1.000000, 6798.3730090705, 6952.0294398883, 23785.47482595
..Output_data\eddy_003l_20080202, 916.32, ABOVE, 1.000000, 6758.243906922, 6910.1202350899, 23107.61525875
..Output_data\eddy_003l_20080202, 916.42, ABOVE, 1.000000, 6714.6121605899, 6864.5914506064, 22433.931397945
