Dataset, Plane_Height, Reference, Z_Factor, Area_2D, Area_3D, Volume
..Output_data\chan_003l_20080202, 908.52, ABOVE, 1.000000, 16741.669384286, 16954.946933047, 129007.79082347
..Output_data\chan_003l_20080202, 908.62, ABOVE, 1.000000, 16741.441694571, 16954.717589708, 127333.6257847
..Output_data\chan_003l_20080202, 908.72, ABOVE, 1.000000, 16734.939187585, 16948.173978123, 125659.71518083
..Output_data\chan_003l_20080202, 908.82, ABOVE, 1.000000, 16718.004731474, 16931.120094629, 123987.06815032
..Output_data\chan_003l_20080202, 908.92, ABOVE, 1.000000, 16702.957429229, 16915.847967532, 122316.03367145
..Output_data\chan_003l_20080202, 909.02, ABOVE, 1.000000, 16687.458811295, 16900.043626276, 120646.49301862
..Output_data\chan_003l_20080202, 909.12, ABOVE, 1.000000, 16670.134623694, 16882.335092147, 118978.60148675
..Output_data\chan_003l_20080202, 909.22, ABOVE, 1.000000, 16652.835503924, 16864.568270931, 117312.46410635
..Output_data\chan_003l_20080202, 909.32, ABOVE, 1.000000, 16636.343888636, 16847.520470765, 115648.00928069
..Output_data\chan_003l_20080202, 909.42, ABOVE, 1.000000, 16619.78691353, 16830.318474025, 113985.19358347
..Output_data\chan_003l_20080202, 909.52, ABOVE, 1.000000, 16602.374371416, 16812.177544564, 112324.08244738
..Output_data\chan_003l_20080202, 909.62, ABOVE, 1.000000, 16585.815655789, 16794.786776651, 110664.67363191
..Output_data\chan_003l_20080202, 909.72, ABOVE, 1.000000, 16569.185908195, 16777.242056505, 109006.92385861
..Output_data\chan_003l_20080202, 909.82, ABOVE, 1.000000, 16552.124818351, 16759.195329819, 107350.85052476
..Output_data\chan_003l_20080202, 909.92, ABOVE, 1.000000, 16534.680478677, 16740.697429187, 105696.50931049
..Output_data\chan_003l_20080202, 910.02, ABOVE, 1.000000, 16517.110134525, 16721.990493017,  104043.919009
..Output_data\chan_003l_20080202, 910.12, ABOVE, 1.000000, 16499.248651418, 16702.922439209, 102393.09846077
..Output_data\chan_003l_20080202, 910.22, ABOVE, 1.000000, 16481.19744588, 16683.587911524, 100744.07711016
..Output_data\chan_003l_20080202, 910.32, ABOVE, 1.000000, 16463.066004092, 16664.090229685, 99096.86143541
..Output_data\chan_003l_20080202, 910.42, ABOVE, 1.000000, 16444.086988627, 16643.684658885, 97451.495318018
..Output_data\chan_003l_20080202, 910.52, ABOVE, 1.000000, 16424.356179429, 16622.476166738, 95808.068425123
..Output_data\chan_003l_20080202, 910.62, ABOVE, 1.000000, 16403.833673976, 16600.421779484, 94166.651278191
..Output_data\chan_003l_20080202, 910.72, ABOVE, 1.000000, 16383.482304187, 16578.52246757, 92527.289973017
..Output_data\chan_003l_20080202, 910.82, ABOVE, 1.000000, 16362.931854811, 16556.420737058, 90889.963578306
..Output_data\chan_003l_20080202, 910.92, ABOVE, 1.000000, 16342.198670728, 16534.079343882, 89254.717282727
..Output_data\chan_003l_20080202, 911.02, ABOVE, 1.000000, 16321.805675807, 16512.02435913, 87621.51544589
..Output_data\chan_003l_20080202, 911.12, ABOVE, 1.000000, 16301.067364245, 16489.586591754, 85990.366460366
..Output_data\chan_003l_20080202, 911.22, ABOVE, 1.000000, 16279.751764524, 16466.542853486, 84361.323808241
..Output_data\chan_003l_20080202, 911.32, ABOVE, 1.000000, 16258.374520228, 16443.41384948, 82734.415242127
..Output_data\chan_003l_20080202, 911.42, ABOVE, 1.000000, 16236.577701485, 16419.822306382, 81109.661639228
..Output_data\chan_003l_20080202, 911.52, ABOVE, 1.000000, 16214.440999147, 16395.831701284, 79487.103883454
..Output_data\chan_003l_20080202, 911.62, ABOVE, 1.000000, 16191.757593725, 16371.242807685, 77866.78495242
..Output_data\chan_003l_20080202, 911.72, ABOVE, 1.000000, 16168.739550272, 16346.243452763, 76248.767760261
..Output_data\chan_003l_20080202, 911.82, ABOVE, 1.000000, 16146.258655009, 16321.701015112, 74633.022298624
..Output_data\chan_003l_20080202, 911.92, ABOVE, 1.000000, 16124.250128656, 16297.586240016, 73019.496527406
..Output_data\chan_003l_20080202, 912.02, ABOVE, 1.000000, 16100.295696637, 16271.524416567, 71408.247091396
..Output_data\chan_003l_20080202, 912.12, ABOVE, 1.000000, 16075.353981898, 16244.444405289,  69799.4603706
..Output_data\chan_003l_20080202, 912.22, ABOVE, 1.000000,  16050.4062175, 16217.314270646, 68193.179435979
..Output_data\chan_003l_20080202, 912.32, ABOVE, 1.000000, 16025.634581727, 16190.351392124, 66589.372208105
..Output_data\chan_003l_20080202, 912.42, ABOVE, 1.000000, 16000.540066591, 16163.074671769, 64988.064092794
..Output_data\chan_003l_20080202, 912.52, ABOVE, 1.000000, 15975.479886412, 16135.868942714, 63389.263156833
..Output_data\chan_003l_20080202, 912.62, ABOVE, 1.000000, 15949.479224306, 16107.775039812, 61792.999632825
..Output_data\chan_003l_20080202, 912.72, ABOVE, 1.000000, 15922.105362227, 16078.352780894, 60199.414931966
